time,linear,angular
2024/06/27 13:23:46.926960743,"{'x': 1.4534762015745522, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.06100920381103414}"
2024/06/27 13:23:47.4526484,"{'x': 1.46116445546188, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.07273310572495006}"
2024/06/27 13:23:47.69916308,"{'x': 1.460376892380735, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0925838138401529}"
2024/06/27 13:23:47.132353363,"{'x': 1.466622583587339, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1032822887536966}"
2024/06/27 13:23:47.187506698,"{'x': 1.4600359301823356, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.11924854389446704}"
2024/06/27 13:23:47.261860762,"{'x': 1.463922318905557, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1264649872763428}"
2024/06/27 13:23:47.327333606,"{'x': 1.4532478637494681, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.14054202039284913}"
2024/06/27 13:23:47.379407172,"{'x': 1.4556787014524033, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1459448034140669}"
2024/06/27 13:23:47.430708983,"{'x': 1.4554209160786862, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1533139711528646}"
2024/06/27 13:23:47.483922339,"{'x': 1.4490505155362665, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.15665762206175593}"
2024/06/27 13:23:47.537151222,"{'x': 1.4433708837470853, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.15939890383274058}"
2024/06/27 13:23:47.600191377,"{'x': 1.439618285155918, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.16333313662767956}"
2024/06/27 13:23:47.652994748,"{'x': 1.4443069381693714, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.16510253832709143}"
2024/06/27 13:23:47.708107064,"{'x': 1.4262177210139568, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.16331543137800963}"
2024/06/27 13:23:47.758453772,"{'x': 1.429459141677906, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1629818527316944}"
2024/06/27 13:23:47.811544827,"{'x': 1.4219757929242456, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.16117758925778158}"
2024/06/27 13:23:47.874160208,"{'x': 1.4187977916704486, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.15514108463386478}"
2024/06/27 13:23:47.927855502,"{'x': 1.4178677099069212, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.15278863016638056}"
2024/06/27 13:23:47.985989034,"{'x': 1.4026668486774896, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.14579265351233772}"
2024/06/27 13:23:48.33997501,"{'x': 1.4128243690699114, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.13990816709602516}"
2024/06/27 13:23:48.86612110,"{'x': 1.3910437967711293, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.13676231315775667}"
2024/06/27 13:23:48.139730227,"{'x': 1.4050950228605736, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.13042941394014562}"
2024/06/27 13:23:48.191351317,"{'x': 1.386089516383274, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1260403873184064}"
2024/06/27 13:23:48.257916784,"{'x': 1.3785520890942025, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.11949368955580297}"
2024/06/27 13:23:48.334084174,"{'x': 1.3809231455465818, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.11521378415083472}"
2024/06/27 13:23:48.409984704,"{'x': 1.3762329308534174, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.10659927655235624}"
2024/06/27 13:23:48.462259915,"{'x': 1.375565212884265, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1020036501880579}"
2024/06/27 13:23:48.514737891,"{'x': 1.359108379997179, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.2369394012798356}"
2024/06/27 13:23:48.568057578,"{'x': 1.3512622481025538, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.37162150853454534}"
2024/06/27 13:23:48.635184007,"{'x': 1.3252239314570027, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.41544649909106557}"
2024/06/27 13:23:48.684134474,"{'x': 1.3252425149069411, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.19500998780472756}"
2024/06/27 13:23:48.738050720,"{'x': 1.3060462636801384, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.15511511801051814}"
2024/06/27 13:23:48.799214893,"{'x': 1.3127367168759854, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.009490139347525073}"
2024/06/27 13:23:48.853147579,"{'x': 1.3073796375726106, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.10503575575284074}"
2024/06/27 13:23:48.904788379,"{'x': 1.3103032671876365, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.04508074672055162}"
2024/06/27 13:23:48.956927052,"{'x': 1.2985852819920167, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.056463135788207275}"
2024/06/27 13:23:49.9664988,"{'x': 1.3021773744620966, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.024297318781046684}"
2024/06/27 13:23:49.63507561,"{'x': 1.2864023116839804, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.021940492904745312}"
2024/06/27 13:23:49.115582812,"{'x': 1.309805291086573, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.08053937152812285}"
2024/06/27 13:23:49.168512868,"{'x': 1.2785884760037811, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.08568826605299407}"
2024/06/27 13:23:49.225194422,"{'x': 1.2798091545197092, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.088380554556033}"
2024/06/27 13:23:49.274339897,"{'x': 1.279314942377319, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.0880318613374671}"
2024/06/27 13:23:49.328631324,"{'x': 1.2843008658998252, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.08703317547174105}"
2024/06/27 13:23:49.380862644,"{'x': 1.282147348525941, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.08614914188715606}"
2024/06/27 13:23:49.432056596,"{'x': 1.2849341914688899, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.08400403815676682}"
2024/06/27 13:23:49.485620812,"{'x': 1.2869480314301511, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.08263923076585922}"
2024/06/27 13:23:49.538536199,"{'x': 1.2892955670376054, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.08143817652151952}"
2024/06/27 13:23:49.590083414,"{'x': 1.2946882460725957, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.06963895663757569}"
2024/06/27 13:23:49.647461748,"{'x': 1.3071262718058012, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.06350716350494068}"
