time,header,pose
2024/06/27 13:19:39.37314110,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508918137019075, 'y': -21.799987727904856, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015420107768291216, 'w': 0.9998811030699671}}"
2024/06/27 13:19:39.90222946,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891929583779, 'y': -21.799987783788215, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01542200677941238, 'w': 0.9998810737817252}}"
2024/06/27 13:19:39.143302815,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891993008131, 'y': -21.79998776812203, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015422937485082349, 'w': 0.9998810594262356}}"
2024/06/27 13:19:39.195674230,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850892085793807, 'y': -21.799987741148858, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015423879276634583, 'w': 0.9998810448988719}}"
2024/06/27 13:19:39.247411057,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850892167327398, 'y': -21.799987780343884, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015425784248016623, 'w': 0.9998810155115125}}"
2024/06/27 13:19:39.300445062,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850892193335192, 'y': -21.7999877441464, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015426768572352584, 'w': 0.9998810003252463}}"
2024/06/27 13:19:39.362906815,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850892297009472, 'y': -21.799987773017016, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015428688322151949, 'w': 0.9998809707043423}}"
2024/06/27 13:19:39.415651959,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850892339085026, 'y': -21.79998777923045, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015429636610348133, 'w': 0.9998809560713078}}"
2024/06/27 13:19:39.470235424,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850892484348252, 'y': -21.79998776359007, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015431508188760257, 'w': 0.9998809271883429}}"
2024/06/27 13:19:39.555406998,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850892502207615, 'y': -21.799987769595624, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015432505166730214, 'w': 0.9998809118011399}}"
2024/06/27 13:19:39.606799142,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850892624642981, 'y': -21.799987733568035, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015434353958581228, 'w': 0.9998808832645423}}"
